1.05986915711448e-15,2.19148991968484e-15,3.46612497117692e-15,4.95452142023441e-15,6.72693012968637e-15,8.85312478941861e-15,1.14024207392187e-14,1.44436935476033e-14,1.80453973525367e-14,2.22755829698536e-14
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
2.32168016840688e-16,4.64339407498725e-16,6.96514536569257e-16,9.28693964494877e-16,1.16087844618508e-15,1.39306892968857e-15,1.62526655491769e-15,1.85747265242441e-15,2.08968874222702e-15,2.32191653268709e-15
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
9.85037206414751e-13,1.96273228909995e-12,2.93335403244774e-12,3.89716762156481e-12,4.85443472751238e-12,5.80541359112863e-12,6.75035910546251e-12,7.68952289684769e-12,8.62315340464458e-12,9.55149595967802e-12
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
3.79811489300601e-15,1.51544131530334e-14,3.40133840875893e-14,6.03215732315461e-14,9.40275549550759e-14,1.35081905722616e-13,1.83437177992055e-13,2.39047874743566e-13,3.01870424627701e-13,3.71863157722625e-13
0,0,0,0,0,0,0,0,0,0
1.54013828327667e-12,3.08027865711827e-12,4.62042112153147e-12,6.16056567652291e-12,7.70071232209917e-12,9.24086105826679e-12,1.07810118850323e-11,1.2321164802402e-11,1.38613198103826e-11,1.54014769089802e-11
4.35210799297684e-10,4.35211598595368e-10,4.35212397893052e-10,4.35213197190736e-10,4.3521399648842e-10,4.35214795786105e-10,4.35215595083789e-10,4.35216394381473e-10,4.35217193679157e-10,4.35217992976841e-10
5.04170000011273e-06,5.04170000022545e-06,5.04170000033818e-06,5.0417000004509e-06,5.04170000056363e-06,5.04170000067635e-06,5.04170000078908e-06,5.0417000009018e-06,5.04170000101453e-06,5.04170000112726e-06
1.7041e-06,1.7041e-06,1.7041e-06,1.7041e-06,1.7041e-06,1.7041e-06,1.7041e-06,1.7041e-06,1.7041e-06,1.7041e-06
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
