1.53054100572535e-08,3.06108598005386e-08,4.59163095440995e-08,6.12217592879363e-08,7.65272090320489e-08
0.0157470016588736,0.0157470033177515,0.0157470049766294,0.0157470066355072,0.0157470082943851
258.180000000223,258.180000000446,258.180000000668,258.180000000891,258.180000001114
138.41,138.41,138.41,138.41,138.41
2.14793297768806e-42,1.71834399695644e-41,5.79940831014976e-41,1.37467424549647e-40,2.68491026540462e-40
4.19353190020098e-38,3.35482086014456e-37,1.13225151604716e-36,2.68385482411197e-36,5.24190322522274e-36
1.47641371144556e-28,5.90565976778909e-28,1.32877381690291e-27,2.36226489151657e-27,3.69103920061987e-27
1.88347686552514e-09,3.7669586147615e-09,5.65044036399785e-09,7.53392211323421e-09,9.41740386247057e-09
1424.7,1424.7,1424.7,1424.7,1424.7
5.08227911417638e-12,1.01917809169159e-11,1.53292999239719e-11,2.04948383412108e-11,2.56883961326218e-11
97.9860000055976,97.9860000111951,97.9860000167927,97.9860000223903,97.9860000279878
21.6060017170752,21.606003434155,21.6060051512347,21.6060068683144,21.6060085853941
33.3890133807034,33.3890267614427,33.389040142183,33.3890535229245,33.3890669036671
3.35934628116666e-06,6.71870294646279e-06,1.00780612970844e-05,1.3437421334825e-05,1.67967830530357e-05
34.5730000164348,34.5730000328825,34.5730000493432,34.573000065817,34.5730000823039
1.29018083048148e-06,2.32923592416891e-06,3.16604930338316e-06,3.83999103594717e-06,4.38276707698082e-06
5.68870028984047,5.68870057981985,5.68870086994125,5.68870116020453,5.68870145060956
4.18749474643723e-15,1.05621897526792e-14,1.91271616508102e-14,2.98824212340536e-14,4.28279695836003e-14
1.25754544594419e-07,4.14050675714396e-07,7.72072305248462e-07,1.14508339560043e-06,1.50246863179206e-06
1.74732303693925e-08,1.20855974695311e-07,3.54604415951389e-07,7.34509066977647e-07,1.2598213202984e-06
2.20788097275242e-12,4.44243788293762e-12,6.7044569257702e-12,8.99394026440463e-12,1.13108878640168e-11
8.50188096844774e-11,1.70544487897188e-10,2.56591849486774e-10,3.43160935569731e-10,4.30251745550539e-10
7.58081259815628e-09,7.63174669162073e-09,7.63408689273905e-09,7.63611346942189e-09,7.63813801967846e-09
6.47599642114894e-08,1.29557806075647e-07,1.94394465674343e-07,2.59269946022288e-07,3.2418424708294e-07
3.74263059598819e-09,8.39861981223808e-09,1.3061734606684e-08,1.77261265786486e-08,2.23917579763257e-08
1.52753781978755e-14,3.11996734543123e-14,4.7792116458396e-14,6.505275982736e-14,8.29816026939092e-14
9.11160981807895e-13,1.84295694207977e-12,2.79599822330022e-12,3.77028650023527e-12,4.76582174848731e-12
1.86396823794028e-11,3.20239473720481e-11,4.17242871755741e-11,4.88369765832003e-11,5.41320422450812e-11
