-29.2659	0
-28.9848	2.85352
-28.9848	-2.85352
-28.1525	5.59739
-28.1525	-5.59739
-26.8008	8.12615
-26.8008	-8.12615
-24.9818	10.3426
-24.9818	-10.3426
-22.7653	12.1616
-22.7653	-12.1616
-20.2366	13.5133
-20.2366	-13.5133
-17.4927	14.3456
-17.4927	-14.3456
-14.6392	14.6267
-14.6392	-14.6267
-11.7857	14.3456
-11.7857	-14.3456
-9.04179	13.5133
-9.04179	-13.5133
-6.51303	12.1616
-6.51303	-12.1616
-4.29656	10.3426
-4.29656	-10.3426
-0.0125	0
-0.293548	2.85352
-0.293548	-2.85352
-1.12589	5.59739
-1.12589	-5.59739
-2.47754	8.12615
-2.47754	-8.12615
-29.3624	0
-29.0813	2.85352
-29.0813	-2.85352
-28.249	5.59739
-28.249	-5.59739
-26.8973	8.12615
-26.8973	-8.12615
-25.0783	10.3426
-25.0783	-10.3426
-22.8618	12.1616
-22.8618	-12.1616
-20.3331	13.5133
-20.3331	-13.5133
-17.5892	14.3456
-17.5892	-14.3456
-14.7357	14.6267
-14.7357	-14.6267
-11.8822	14.3456
-11.8822	-14.3456
-9.13829	13.5133
-9.13829	-13.5133
-6.60953	12.1616
-6.60953	-12.1616
-4.39306	10.3426
-4.39306	-10.3426
-0.109	0
-0.390048	2.85352
-0.390048	-2.85352
-1.22239	5.59739
-1.22239	-5.59739
-2.57404	8.12615
-2.57404	-8.12615
-30.6034	0
-30.3223	2.85352
-30.3223	-2.85352
-29.49	5.59739
-29.49	-5.59739
-28.1383	8.12615
-28.1383	-8.12615
-26.3193	10.3426
-26.3193	-10.3426
-24.1028	12.1616
-24.1028	-12.1616
-21.5741	13.5133
-21.5741	-13.5133
-18.8302	14.3456
-18.8302	-14.3456
-15.9767	14.6267
-15.9767	-14.6267
-13.1232	14.3456
-13.1232	-14.3456
-10.3793	13.5133
-10.3793	-13.5133
-7.85053	12.1616
-7.85053	-12.1616
-5.63406	10.3426
-5.63406	-10.3426
-1.35	0
-1.63105	2.85352
-1.63105	-2.85352
